"","V2","V3","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"TCGA-A1-A0SQ-01",18.2,0,0.0278174216820229,0.0739188794634186,-0.0297636891566159,-0.0164366447929557,0.0611289228376219,0.0605015030133086,0.0744677141537001,0.00166566402978129,0.02956685351234,0.0412776681524955,0.0231941124091459,0.0191940775455901,-0.0143355663538202,0.0358011854163156,0.0356595014146527,0.0576385459483319,0.0449541699734489
"TCGA-A2-A04R-01",121.85,0,-0.0600506094510976,0.0682436728522695,0.00927573749844618,0.0076995852275167,0.0711501162557461,0.0258931490754355,0.0445176017303879,0.0158143220971319,-0.0372947697244721,0.118168234603995,0.0693848811950952,-0.0500837347347013,0.0581775348800995,0.0282484635161395,0.0526909168132434,0.0776839494099194,-0.0482427804098627
"TCGA-A2-A0CK-01",136.63,0,0.00479977485185202,-0.000800753262891729,-0.0194692082182931,-0.0064250382291678,-0.00590475828953843,0.0275776040814075,0.0284288019505032,-0.0102339287020007,0.0167132177026245,-0.0140281822259749,0.0335214015404571,0.000471610728580354,-0.000845070943434433,0.016689208618224,0.00877052520297798,0.0344925614921781,0.0358608462000481
"TCGA-A2-A0CO-01",114.72,1,-0.0141095526787972,0.0376518862493577,-0.0142521736082527,-0.00569456905544718,0.0157960559420489,-0.00355039548852451,0.00170970932002909,-0.0160536238131074,-0.0384117454872224,0.0146905163972248,0.0117412436656667,-0.0243889112618987,0.00288685951632068,0.00306644937344184,-0.0148517895390956,0.0256458103982744,-0.0239451339242373
"TCGA-A2-A0CR-01",107.85,0,0.0021608493620654,-0.0119282933821012,-0.0171682746734541,-0.00154872133406319,-0.0269843258988296,-0.0640340272796259,-0.0463553862258583,-0.0296508653530805,0.0134812900259894,-0.02129214061312,-0.0169175890479399,0.0111604759206769,0.0158391305756221,-0.0196349956446161,-0.0505258011810038,-0.0192607484511372,-0.0236019661330535
"TCGA-A2-A0CT-01",75.2,0,-0.0764553771800665,-0.03811718043683,-0.00125387686366809,0.0918499387460245,-0.0304370967971358,0.0114320403589187,0.0224019352066358,0.0224275973635252,-0.11071902209339,-0.0421573104440996,-0.00940906874229571,-0.0674488244421844,-0.0535366098934474,0.00419554628379953,0.0489353715532597,-0.0669173366654388,-0.0648852337752131
"TCGA-A2-A0EN-01",134.3,0,-0.0247757186376004,-0.0239280908525436,0.0104670218394276,0.00189930832062682,-0.0214879194657538,-0.0547072452327246,-0.0319348770652032,-0.00224879109688862,-0.038557036954159,-0.0201917958822165,-0.047460615181926,-0.0280930241658226,-0.00655310025272932,-0.0433774661591964,-0.0186380355327482,-0.0165127341679233,-0.0380750539947792
"TCGA-A2-A0EP-01",118.36,0,0.00630897115432303,-0.0206580636091429,-0.00144273300086617,-0.0263220949401582,-0.0477407227187996,-0.0885508037393312,-0.0644128063552068,-0.0181319000806387,-0.0152741940310821,-0.0305924819500301,-0.0312632618941782,-0.00623056887340082,0.00574207273154621,-0.0301895023031594,-0.0539995525181166,-0.0396557287524228,-0.0350858108000933
"TCGA-A2-A0EU-01",34.26,0,-0.0251351889347115,0.0263024945687173,-0.00305627106278177,-0.0130113414549039,0.0218281053916883,0.0328706907090935,0.0556545620019072,0.0199376875654549,-0.0582979641890911,-0.0037646578104355,-0.0114388049710211,-0.0478579936734925,0.0209571045983478,0.00171931864373271,0.0473108922301095,-0.0622669456325137,0.0112452420544753
"TCGA-A2-A0ST-01",99.11,0,0.0150520215367718,-0.011381664743234,-0.0156332936724052,-0.0311305497466378,-0.0361416322494809,-0.0947888551077101,-0.0616076771437209,-0.00348444097017429,0.011788638187634,-0.011859325986584,-0.0188812052775025,0.0167451770367584,0.0237076198489804,-0.0321293281424089,-0.0374332458449147,-0.0253263864280162,-0.0424469838527668
